Artist,Album,Genre,Date,Best New Albums Flag,Timestamp
03 Greedo,Project T-Pain,Rap,2024-01-11,0.0,2024-02-11 21:50:42.090090
Ace of Base,The Sign,Pop/R&B,2023-11-12,0.0,2024-02-24 11:44:19.275741
Acetone,I’m still waiting.,Rock,2023-11-18,0.0,2024-02-24 11:44:19.275741
Aesop Rock,Integrated Tech Solutions,Rap,2023-11-13,0.0,2024-02-24 11:44:19.275741
Amor Muere,"a time to love, a time to die",Experimental,2023-11-06,0.0,2024-02-24 11:44:19.275741
André 3000,New Blue Sun,Experimental,2023-11-20,1.0,2024-02-24 11:44:19.275741
Ariel Kalma,The Closest Thing to Silence,Experimental,2024-02-13,0.0,2024-02-13 20:43:34.669072
Au Pairs,Playing With a Different Sex,Rock,2023-12-17,0.0,2024-02-11 21:50:42.090090
Bob Dylan,Desire,Rock,2024-01-14,0.0,2024-02-11 21:50:42.090090
Brian Eno,Ambient 1: Music for Airports,Electronic,2024-01-07,0.0,2024-02-11 21:50:42.090090
Brion Gysin,Junk,Rock,2024-01-30,0.0,2024-02-11 21:50:42.090090
Brittany Howard,What Now,Rock,2024-02-13,1.0,2024-02-13 20:43:34.669072
Bryan Ferry,Mamouna (Deluxe),Electronic,2023-11-29,0.0,2024-02-24 11:44:19.275741
Buju Banton,’Til Shiloh,Pop/R&B,2023-11-05,0.0,2024-02-24 11:44:19.275741
Chuquimamani-Condori,DJ E,Experimental,2024-01-09,0.0,2024-02-11 21:50:42.090090
Cocteau Twins,Head Over Heels,Rock,2024-01-21,0.0,2024-02-11 21:50:42.090090
David Michael Moore,Adagio Fishing,Folk/Country,2023-12-04,0.0,2024-02-24 11:44:19.275741
Dorothy Carter,Waillee Waillee,Folk/Country,2023-12-23,0.0,2024-02-11 21:50:42.090090
Emahoy Tsege Mariam Gebru,Souvenirs,Experimental,2024-02-29,0.0,2024-03-02 21:07:09.276403
Frank Zappa,Jazz From Hell,Experimental,2023-11-19,0.0,2024-02-24 11:44:19.275741
Fun Boy Three,Fun Boy Three,Rock,2023-11-26,0.0,2024-02-24 11:44:19.275741
Ghost,Ghost / Second Time Around / Temple Stone,Folk/Country,2024-02-27,0.0,2024-02-28 14:13:44.546774
Gin Blossoms,New Miserable Experience,Rock,2024-03-03,0.0,2024-03-02 21:07:09.276403
Grandaddy,Blu Wav,Rock,2024-02-22,0.0,2024-02-24 11:44:19.275741
Helado Negro,Phasor,Electronic,2024-02-09,1.0,2024-02-11 21:50:42.090090
Hotline TNT,Cartwheel,Rock,2023-11-03,1.0,2024-02-24 11:44:19.275741
Hurray for the Riff Raff,The Past Is Still Alive,Rock,2024-02-27,1.0,2024-02-28 14:13:44.546774
Jake Muir,Bathhouse Blues,Electronic,2024-01-29,0.0,2024-02-11 21:50:42.090090
Jeff Mills,"Live at the Liquid Room, Tokyo",Electronic,2024-02-04,0.0,2024-02-11 21:50:42.090090
Kali Malone,All Life Long,Experimental,2024-03-02,1.0,2024-03-02 21:07:09.276403
Kali Uchis,Orquídeas,Pop/R&B,2024-01-12,1.0,2024-02-11 21:50:42.090090
Lou Reed,Hudson River Wind Meditations,Rock,2024-01-13,0.0,2024-02-11 21:50:42.090090
MJ Lenderman,And the Wind (Live and Loose!),Rock,2023-11-21,0.0,2024-02-24 11:44:19.275741
ML Buch,Suntub,Electronic,2023-11-09,0.0,2024-02-24 11:44:19.275741
Mannequin Pussy,I Got Heaven,Rock,2024-02-29,1.0,2024-03-02 21:07:09.276403
