,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,track_uri,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6kWJvPfC4DgUpRsXKNa9z9,All That She Wants,The Sign,Ace of Base,1993-12-24,211213,80,0.798,0.00547,0.625,7.98e-05,0.103,-9.689,0.0548,93.764
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4SYMibQ93bfzOk6uzkF0dO,Don't Turn Around,The Sign,Ace of Base,1993-12-24,230186,61,0.745,0.00104,0.771,0.387,0.0574,-8.231,0.0755,95.623
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6sUq6M1iKXQLZHZqefgtEq,Young and Proud,The Sign,Ace of Base,1993-12-24,236840,37,0.68,0.00101,0.904,0.814,0.0774,-7.334,0.0311,120.075
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0hrBpAOgrt8RXigk83LLNE,The Sign,The Sign,Ace of Base,1993-12-24,191240,77,0.808,0.00928,0.786,0.0701,0.0574,-6.897,0.0447,96.987
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5ICwDM1fzgqv7HNFUIjPyx,Living in Danger,The Sign,Ace of Base,1993-12-24,223226,50,0.669,0.000573,0.931,0.56,0.106,-7.161,0.0488,102.079
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,56r15mfaTXZoGEYBe2FHur,Dancer in a Daydream,The Sign,Ace of Base,1993-12-24,221000,43,0.65,0.000449,0.821,0.587,0.119,-8.997,0.0301,119.073
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,08bZOAr9YLpCLL0Jmtsgbi,Wheel of Fortune,The Sign,Ace of Base,1993-12-24,234106,56,0.785,0.0366,0.79,0.0223,0.0845,-6.836,0.0555,91.753
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,21ra9MgsyMTrxCvIPObFGL,"Waiting for Magic - Total Remix 7"" Version",The Sign,Ace of Base,1993-12-24,231560,35,0.667,0.0172,0.936,0.451,0.0726,-6.689,0.0314,126.111
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7fb22pjF62S9r1s1pian5K,Happy Nation,The Sign,Ace of Base,1993-12-24,255413,0,0.67,0.00123,0.867,0.00472,0.0796,-5.136,0.0368,96.049
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2F71FlxVyNcoHj3MrHJF5e,Voulez-Vous danser,The Sign,Ace of Base,1993-12-24,200173,39,0.707,0.0017,0.976,0.00122,0.0315,-4.784,0.0568,129.028
