,playlist_uri,playlist_name,track_uri,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo
0,spotify:playlist:3XMV8tlCUjSsDIyGixXENN,the kind of music ive been missing in my life for too long,6cnKuCPGd2n4DC19J8QbPv,November,Music For Home,Brian Green,2021-09-30,73624,37,0.59,0.982,0.23,0.942,0.109,-20.111,0.193,158.164
1,spotify:playlist:3XMV8tlCUjSsDIyGixXENN,the kind of music ive been missing in my life for too long,5XTW6cmcoxaJzBylXqqvtE,Mammoth Star,Luminous,Golden Brown,2022-04-08,182176,38,0.529,0.831,0.24,0.949,0.114,-19.189,0.0331,133.016
2,spotify:playlist:3XMV8tlCUjSsDIyGixXENN,the kind of music ive been missing in my life for too long,5Aueq9Aii18prdITRbm8Zf,Captain's Flat,Soon,Hana Stretton,2023-01-24,214938,31,0.368,0.873,0.446,0.86,0.402,-17.789,0.0624,128.754
3,spotify:playlist:3XMV8tlCUjSsDIyGixXENN,the kind of music ive been missing in my life for too long,1lMXzhTQZsx4Z31gWlujpY,Captain was a Cow,Soon,Hana Stretton,2023-01-24,116717,40,0.53,0.98,0.095,0.908,0.123,-23.919,0.0403,131.485
4,spotify:playlist:3XMV8tlCUjSsDIyGixXENN,the kind of music ive been missing in my life for too long,1eETxVzjZL4bfNupgfcLl3,White horses,2012-2016,Tyler Burkhart,2019-03-01,166080,37,0.344,0.933,0.0536,0.954,0.11,-29.819,0.0368,171.558
5,spotify:playlist:3XMV8tlCUjSsDIyGixXENN,the kind of music ive been missing in my life for too long,7IAJGCMkGDw9qM8UymtQoY,lakes,Mia Gargaret,Gia Margaret,2020-06-12,97520,41,0.392,0.967,0.335,0.931,0.376,-22.744,0.0577,73.722
6,spotify:playlist:3XMV8tlCUjSsDIyGixXENN,the kind of music ive been missing in my life for too long,23ZDoQk3CDCKVkZPYuOWIh,Lately In Another Time,If I Am Only My Thoughts,Loving,2020-01-31,230822,20,0.678,0.728,0.66,0.228,0.132,-6.309,0.0261,96.752
7,spotify:playlist:3XMV8tlCUjSsDIyGixXENN,the kind of music ive been missing in my life for too long,0WgwG41CeaJt21sCUHiSIy,Nihilist Kite Flyer,If I Am Only My Thoughts,Loving,2020-01-31,182878,28,0.603,0.863,0.621,0.8,0.0964,-7.761,0.0295,80.17
8,spotify:playlist:3XMV8tlCUjSsDIyGixXENN,the kind of music ive been missing in my life for too long,52Bg6oaos7twR7IUtEpqcE,Between The Bars,Either/Or,Elliott Smith,1997-02-25,141280,69,0.522,0.929,0.074,0.765,0.108,-23.625,0.0598,135.298
9,spotify:playlist:3XMV8tlCUjSsDIyGixXENN,the kind of music ive been missing in my life for too long,3UN7R1teOKhmB8SnxtwiPK,Dragon New Warm Mountain I Believe in You,Dragon New Warm Mountain I Believe In You,Big Thief,2022-02-11,283763,53,0.312,0.766,0.471,0.0185,0.162,-11.464,0.0353,173.699
10,spotify:playlist:3XMV8tlCUjSsDIyGixXENN,the kind of music ive been missing in my life for too long,1BzxTvgMM5Ve4acPQHYfL3,The Only Place,Dragon New Warm Mountain I Believe In You,Big Thief,2022-02-11,194251,46,0.45,0.927,0.248,0.00025,0.107,-10.705,0.0353,117.405
11,spotify:playlist:3XMV8tlCUjSsDIyGixXENN,the kind of music ive been missing in my life for too long,5MrnbB9ypfohHPRDD3vHou,so well,homeward (ep),Ann Annie,2022-07-09,192116,40,0.305,0.862,0.299,0.641,0.066,-15.38,0.0335,75.763
12,spotify:playlist:3XMV8tlCUjSsDIyGixXENN,the kind of music ive been missing in my life for too long,0W3hYZhMQlXxJFMbcU3OKe,It's Infinite,Hannah,Lomelda,2020-09-04,174465,48,0.555,0.894,0.241,0.276,0.111,-17.223,0.0302,136.91
13,spotify:playlist:3XMV8tlCUjSsDIyGixXENN,the kind of music ive been missing in my life for too long,6hp729YavhhHeH62B2QH6J,Wall Of Eyes,Wall Of Eyes,The Smile,2023-11-13,305946,56,0.54,0.811,0.37,0.88,0.104,-14.859,0.0362,141.69
14,spotify:playlist:2gc57DKruHDoeGx9DnPgyZ,Cooking,6PVvAvF7w1F65Wnkhc54Cw,Lily Flower (Adele) - Jesse Bru Remix,Fragments - EP,Soul Wun,2021-08-06,326624,39,0.745,0.0701,0.543,0.756,0.265,-13.65,0.0481,122.017
15,spotify:playlist:2gc57DKruHDoeGx9DnPgyZ,Cooking,5bcK2BUmjupoYWjagNJrxU,Teacups - Chaos In The CBD Remix,Teacups (Chaos In The CBD Remix),Sorceress,2013,330698,29,0.801,0.56,0.828,0.908,0.11,-9.61,0.0525,120.016
16,spotify:playlist:2gc57DKruHDoeGx9DnPgyZ,Cooking,0OlM5w1RG9fJp8gGMKFZNr,Double Dribble,Multiverse,Chaos In The CBD,2018-09-03,361862,27,0.803,0.0317,0.764,0.906,0.0933,-9.587,0.0451,121.969
17,spotify:playlist:2gc57DKruHDoeGx9DnPgyZ,Cooking,0sSOYCHLM4NaRbBGy9I6Vq,Possession,Occasion,Saskatchewan,2013-04-30,272654,7,0.663,0.013,0.706,0.845,0.0847,-8.511,0.0325,96.987
18,spotify:playlist:2gc57DKruHDoeGx9DnPgyZ,Cooking,7feAiWu7r29nk1kUgEpL7c,Beneath The Sheets,Beneath The Sheets,Donny Benét,2018-11-01,520885,0,0.723,0.0179,0.494,0.83,0.156,-11.336,0.05,105.012
19,spotify:playlist:2gc57DKruHDoeGx9DnPgyZ,Cooking,3ghjtAc0L7zOZAx0zdzSDU,Only Child,Weekend at Donny's,Donny Benét,2014-09-26,300232,13,0.591,0.141,0.567,0.136,0.0985,-9.52,0.0338,111.691
20,spotify:playlist:2gc57DKruHDoeGx9DnPgyZ,Cooking,5ovtRPwMmmE5iKTkgI60Bw,Housework,Alishan Forest Railway / Housework,Jon Sable,2018-08-09,408427,28,0.793,0.0324,0.957,0.881,0.0924,-10.007,0.076,125.999
